Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-09-19,0.026847378721308872,-0.11967112161038976,-0.03889997049935047,0.045493406692998124,0.079832148641075,0.009756774423580222,0.05599179688392672,0.01635959634435923,0.02263451410930075,0.09269650245698732,0.03185553241852481
2018-09-20,0.0492691199661242,-0.09308518304450866,-0.019209225052132642,0.05773471816066292,0.09641669386853845,0.041745606897949816,0.07428794076425681,0.025309990157172682,0.023257478493218176,0.11238130782341263,0.04968646523697597
2018-09-21,0.029872301851613395,-0.10586654296331363,-0.025836974287023695,0.05482436270999961,0.09970752256173922,0.037063244705524155,0.06728317227949313,0.01632087330298082,0.024606963930844234,0.10889176270887034,0.04236830870920104
2018-09-24,0.017515154512553272,-0.08524090631592832,0.024341238561799542,0.04326834330216716,0.07742786905618375,0.07019761600287107,0.03000724380485138,-0.021270380589190112,-0.010251065614885237,0.12167071989314704,0.05288903929601442
2018-09-25,0.0030358280503162277,-0.08607529814832653,0.024437385574905185,0.03890612033739306,0.0669252645816642,0.06334513522411983,0.02240555955351225,-0.028420079708252437,-0.03898116022650105,0.11862372818575764,0.053970349870166634
2018-09-26,-0.013845476444762344,-0.06981770248190393,-0.00869564564961244,0.027513070599785368,0.07458353084536512,0.07068774305818126,0.02691913991106747,-0.04769929686813454,-0.0632503906489692,0.13317186831810557,0.07303355722038554
2018-09-27,-0.035070076831790926,-0.06301404843858634,-0.007352530498283744,0.01109339140307862,0.07596225938612416,0.06979119206408231,0.024274462452042504,-0.051380497197622145,-0.042900464301386484,0.1382864915402711,0.0717322565575595
2018-09-28,-0.051086820578916683,-0.06894674281421265,-0.019116160008502144,-0.01004290837954911,0.07232163222813894,0.07800859019387682,0.02790618675503066,-0.029717740057896062,-0.01589807282407102,0.1394445977728933,0.06808287021687766
2018-10-01,-0.02612821633456454,-0.08298778487447372,0.023751542308155047,-0.0071568020398023666,0.08809817310253383,0.07602234106175763,0.03261977967305585,-0.039066592123632796,-0.029882067093657465,0.14151566942280458,0.060219377589442465
2018-10-02,-0.015898001928101882,-0.0722843318598299,0.01907197605918437,0.0023755527386518163,0.09645932472698492,0.0893406877119237,0.041830641095855194,-0.05094739354449221,-0.006207228893798426,0.1362994757719883,0.03738123561027934
2018-10-03,-0.03886187186742173,-0.07832308746414825,0.028417564961956264,0.018778262579896295,0.09978197987287686,0.07750283112935195,0.005622192369036043,-0.08611671946566918,-0.03578257643871317,0.12064900622297771,0.025244304138765356
2018-10-04,-0.05295071454856887,-0.12091787268882104,0.013731216018407195,0.027343883920204124,0.08903513232954151,0.02731808853732715,-0.0024292570338034156,-0.09922093843982363,-0.033029091251168846,0.08410299857850523,-0.01494275877436348
2018-10-05,-0.0761356347115305,-0.14429958940969884,-0.0014442163384909643,-0.0058713280254385145,0.05843629348939741,-0.006312820487193022,-0.0003182372541935541,-0.08947129353324515,0.03041168183793104,0.07371075816894124,-0.04188244524432751
2018-10-08,-0.08531529662567278,-0.15015755890067595,-0.010403675958729371,0.011506072735307984,0.06029842353047046,-0.031431716103224094,0.015042151023590189,-0.06962467553495758,0.03755734034526259,0.06868873891676118,-0.038978978350214806
2018-10-09,-0.1337397997937744,-0.1500609056267067,0.025898994640915905,0.008625610236311407,0.04617538993376773,-0.020363750146251483,0.01392487417618431,-0.060021469131598726,0.036175852441852445,0.0810701858859721,-0.0424085047740612
2018-10-10,-0.1856801291451985,-0.23833123267132494,-0.04054036426664589,-0.0567149134512529,-0.03310325244829046,-0.13378930695362354,-0.009192362786928608,-0.09339161666882148,0.024053743089098925,0.01918960677466057,-0.11626101705157439
2018-10-11,-0.20648396731882884,-0.2521082373834451,-0.11314373474254788,-0.11125895759172087,-0.09106099079798514,-0.15661205824684632,-0.06569986934894921,-0.14710879440946723,-0.013751740103119154,-0.038411007283043946,-0.15198576530095315
2018-10-12,-0.19395479548294,-0.2108100081517934,-0.0965904072879327,-0.12600789931638373,-0.0741700453622953,-0.0957404943527408,-0.05013662385221628,-0.14312231084332275,-0.015041121659561701,-0.0019524928634781918,-0.12042290801932226
2018-10-15,-0.21181719421130185,-0.21797150615975008,-0.10875612958300876,-0.1356186757727677,-0.07447806486382144,-0.1344004696238051,-0.04673507009321466,-0.12518646351549814,-0.0048691366669465375,-0.021606286029929103,-0.12570978009526518
2018-10-16,-0.17440819782083156,-0.16852350428640822,-0.09370705544291452,-0.11971113803726571,-0.05311161769459266,-0.07689036544449178,-0.01654464448698333,-0.08665716762807195,0.02112629457902932,0.031189264250420783,-0.08776707208152681
2018-10-17,-0.18955445784861213,-0.15458391455987847,-0.10607182237226816,-0.08571113527729007,-0.06704452642784375,-0.08226067371590329,-0.00781335523420612,-0.10131553436238791,0.007963762934145925,0.048018364010476794,-0.10141033948584516
2018-10-18,-0.20637751140258587,-0.18565631736542865,-0.11217455564353218,-0.11973659182460344,-0.0997605399760279,-0.12059349096674937,-0.016597648731526162,-0.09198238784610566,0.0183109343696746,0.02662695635306976,-0.13403457486699144
2018-10-19,-0.21414984778517,-0.1898127111218064,-0.12479370273202373,-0.1256765999045826,-0.10061651363243873,-0.12629452270744887,0.034871346202894365,-0.06985414452566052,0.052361782914248575,0.005826195125480944,-0.15142206989733337
2018-10-22,-0.23986990044971246,-0.197345052456099,-0.15745683588513393,-0.16896931485902825,-0.11126451880024797,-0.11600399535761878,0.017512368885273473,-0.09472128164072882,0.03546026531442693,-0.020126702024824306,-0.14110239134997815
2018-10-23,-0.2642508561027862,-0.2076605795741491,-0.21392686859307886,-0.1857913040051672,-0.15704239645231022,-0.13506754058693468,0.01863436640779695,-0.09214064492402352,0.021120481352396435,-0.043759518614511085,-0.14768335400401483
2018-10-24,-0.325026607384589,-0.2605157818315817,-0.2952188220202502,-0.23172829859719268,-0.2276700841843292,-0.2061044949572017,0.021730613546178862,-0.07311224418196136,0.046584606324132256,-0.10687167296536441,-0.19912573203512052
2018-10-25,-0.3003245646028887,-0.18526262807091165,-0.2705740706432497,-0.20643587618147444,-0.21524085767744988,-0.12798399251739107,0.025186779307932426,-0.040911002350374814,0.01770480719410716,-0.07506469787239778,-0.1427172410151189
2018-10-26,-0.30875944411808925,-0.2203589588282967,-0.2906405297089108,-0.23324393773338478,-0.2238850097887114,-0.15073774026804224,-0.012955276384474222,-0.0917314849295985,-0.013594921884848964,-0.09761903242034149,-0.19400006928141655
2018-10-29,-0.3204543852883366,-0.25421347613686945,-0.32138059527289387,-0.21132084815591146,-0.272930855209693,-0.18489299773020146,0.005117785923931259,-0.07897388123965854,0.0050588216067066,-0.10305777889673937,-0.2143474635944139
2018-10-30,-0.27326377147793973,-0.2027968871897737,-0.2703327006582072,-0.18052551610806558,-0.225003870179388,-0.17299780063909997,0.04434353232903154,-0.05376824273249203,0.01964141188259889,-0.08294481755575069,-0.18286896143951992
2018-10-31,-0.24372599310437815,-0.17202251853152736,-0.25472850427643345,-0.15561749486131832,-0.21020078905283057,-0.1415357167168243,0.014614722681842732,-0.07564283572393977,-0.009470342372169354,-0.0840250364205651,-0.165919999690986
2018-11-01,-0.2033180366077303,-0.16766551730537632,-0.23519711138229255,-0.15253327936230326,-0.17965140016611947,-0.12319976338661418,0.016972513348805007,-0.08088180710226615,-0.029653635534593378,-0.06578810989795827,-0.13185475557707618
2018-11-02,-0.20735473085282585,-0.1956989178362451,-0.24299227456296008,-0.15891061895920872,-0.18410013518095472,-0.16539052456086398,0.005399209558153193,-0.09508790805383655,-0.04154837990450159,-0.07971015573920161,-0.13058933761612218
2018-11-05,-0.20508895406905492,-0.20435926444249258,-0.2203067128049622,-0.13398123415910582,-0.18122301379133543,-0.17085628757124155,0.03197167777599324,-0.061489628453959395,-0.012412626222278641,-0.06281282083492928,-0.1323862515227296
2018-11-06,-0.1716797410276414,-0.1929361477436742,-0.20530791539295348,-0.12653883438514923,-0.15785697325500486,-0.16190423445920693,0.04635850448030255,-0.044431687315903225,0.006353678263071847,-0.05445887515411936,-0.1250792051126449
2018-11-07,-0.14389982419247854,-0.16498860725513098,-0.16712389018753443,-0.09639290778768891,-0.1226273711475607,-0.10838976330609566,0.05554047433138702,-0.024665010214128077,0.024587288729195744,0.0034412315956527557,-0.078157120379959
2018-11-08,-0.13799197544990965,-0.1744239723399074,-0.21299436191480503,-0.0792311081661525,-0.11700287910390564,-0.10213792253100476,0.06012639640965158,-0.01061143271972902,0.02577679529246399,0.00906603695980995,-0.0692948640063424
2018-11-09,-0.15470012962728125,-0.21105425637711261,-0.20422657712252595,-0.08737383324340764,-0.13154445731187825,-0.1340782787086654,0.06634816973322868,-0.007885046974291446,0.02737061761165482,0.0028592020057526812,-0.09141969677064556
2018-11-12,-0.18996604248730747,-0.2445744200539953,-0.2441403907717094,-0.1348441747938782,-0.17548195897789087,-0.20661389866245106,0.04800970729386822,-0.007653095230411517,0.024099412006238743,-0.029358534371258568,-0.13946956193402976
2018-11-13,-0.18025052758282226,-0.23729571605916658,-0.25230849256035315,-0.11662982996516567,-0.16263548832590582,-0.19606365041060736,0.038950070571577795,-0.012219967266290216,0.023137753342669074,-0.041530772277600075,-0.12847557914581204
2018-11-14,-0.18792395138203588,-0.2281693583528178,-0.2617920078563673,-0.15468698629861627,-0.18067972015567857,-0.22198268707764918,0.010499654249935719,-0.020572223871908574,-0.008866471993283217,-0.06706495492007382,-0.14733927756678716
2018-11-15,-0.16998585655344794,-0.2106617738591452,-0.2385493190977415,-0.12944172870647863,-0.16233758159344266,-0.1788103560167777,-0.0005710068898366616,-0.045463082563967125,-0.030588282358004645,-0.053004790570262555,-0.1509750855516318
2018-11-16,-0.15812503767324773,-0.22098238659221975,-0.2237520218219521,-0.13036575256131838,-0.16910846331161544,-0.18035832876088162,0.00501240918842062,-0.01881302444637995,0.003170831637528824,-0.03664373450896292,-0.1649559727380434
2018-11-19,-0.18835813242184865,-0.2812439990715526,-0.22891933586025767,-0.13474303672999835,-0.20521341250603437,-0.2524752712285331,0.009153692938988869,-0.004197333984087273,0.019410042533047796,-0.06186075669004752,-0.21764711270494755
2018-11-20,-0.2170536676230657,-0.3029358992341692,-0.2983793381711587,-0.17311607475548407,-0.23407984046454136,-0.2932034960762428,-0.018244324107669296,-0.02436664541428337,0.018648932093788418,-0.0811264868049173,-0.25950752144217726
2018-11-21,-0.19634064265735984,-0.27906046190868805,-0.26740809067980403,-0.167403686953511,-0.21893739054167444,-0.2825432059048104,-0.031780076700133844,-0.023163698264438634,-0.010710691442370988,-0.09175811445635405,-0.24040754007927428
2018-11-23,-0.2275971527188742,-0.31441405526369914,-0.3289481535856401,-0.18548261611050235,-0.22645189198393606,-0.30702809553313626,-0.023588245431820018,-0.03718122069718217,-0.01395741462160769,-0.09366585386215687,-0.2535583506551967
2018-11-26,-0.21951940174069046,-0.28439488364516624,-0.31017652999258094,-0.1609664585124677,-0.22479710956625248,-0.27660872954271504,-0.021619770431233434,-0.031511703144080555,0.004172208133348322,-0.07866552970975516,-0.2202131163923725
2018-11-27,-0.23809176411418775,-0.27497027459045964,-0.3111894482711005,-0.1585960462593876,-0.22597711521682556,-0.2746782719174815,-0.0004861609006063354,-0.032725141344113244,0.02144776947544471,-0.05922537890759862,-0.21669039602591844
2018-11-28,-0.21772829438023594,-0.2439314329138575,-0.28756371428975736,-0.12294674022518054,-0.18436698270180207,-0.22238585919363818,0.014988311267715,-0.01523449761788738,0.012463862068077747,-0.01926243858851833,-0.17445202905720983
2018-11-29,-0.19390077893737384,-0.23237453293963123,-0.2738393242369094,-0.13169550992957246,-0.17680509870805639,-0.23713419350995396,0.02156053220224877,-0.007494324173806078,0.011341476703897903,-0.011909384880083944,-0.17770588192007142
2018-11-30,-0.18643225859983453,-0.22604961158456982,-0.270058239050166,-0.1208963706791363,-0.15961694329280995,-0.22097520147352254,0.034998541664269,0.0003786095468559861,0.039058000868662006,0.026052362879917607,-0.16803188780561823
2018-12-03,-0.14798374024948302,-0.2116594397093517,-0.22962624930118647,-0.11372056439338593,-0.13752725848008812,-0.17800957410523366,0.038193120370233945,0.014285649490586506,0.04483326969027024,0.024609398027606703,-0.13550043802388806
2018-12-04,-0.20988874352375964,-0.25334541051982346,-0.28007069114826466,-0.1980592735878815,-0.2247936071279329,-0.2369808002048872,-0.00835918345028935,-0.018903751793906753,0.03118858709148699,-0.025273537681736305,-0.1938872146967231
2018-12-06,-0.2362036977068498,-0.2266718222628673,-0.2955931005298366,-0.219180442830734,-0.23750706105893749,-0.226364502703596,-0.009015218167809591,0.017958273529232724,0.026422107254006753,-0.032737248011321544,-0.18259758439477441
2018-12-07,-0.2734433601447957,-0.26271104413689694,-0.305084280343465,-0.2527632804062395,-0.28191542690852867,-0.2870292407341004,-0.032374467347484344,0.0003401157451718619,0.043303781868741426,-0.08513412906236112,-0.23780598816350568
2018-12-10,-0.2698103300363869,-0.2513451663649613,-0.3315107498755221,-0.276460460804071,-0.28210042566569576,-0.2660471817715647,-0.035894610394660714,-0.012827029963335151,0.04012913951954995,-0.07513024061738041,-0.23974562835187335
2018-12-11,-0.27728595036643955,-0.25880185483356205,-0.3391068456174654,-0.29424785293861955,-0.29203689003916955,-0.27140842568544254,-0.01596474670358688,-0.009587663401693685,0.04712028600854527,-0.06831056505458079,-0.2461262888951897
2018-12-12,-0.26274515094334583,-0.23734092490442904,-0.33692505382929605,-0.27633865556162296,-0.2851058137946395,-0.254128968605799,-0.030075049595946746,-0.048538466584107896,0.035012276166047004,-0.05668486108313025,-0.229253371142718
2018-12-13,-0.28658359980214765,-0.2517869272092159,-0.3319907246029538,-0.28778505776137053,-0.2951003704680568,-0.26151075079264413,-0.016414464007694668,-0.04120137432270207,0.04249983027537607,-0.06688671338195437,-0.23965100962218117
2018-12-14,-0.2996627528697633,-0.2673642120815979,-0.37503249860308396,-0.31084177553068126,-0.3231271054705447,-0.30404505212544847,-0.047714916561443936,-0.03606842398322868,0.04416823169342697,-0.12994790561162514,-0.265990183475175
2018-12-17,-0.33216293808182895,-0.2928700186881493,-0.40633004565117303,-0.32408645247186463,-0.3512843181118788,-0.32978941869418765,-0.09706659212071794,-0.11632980576902881,-0.02620813069267977,-0.1642187221201698,-0.2999216224445857
2018-12-18,-0.32372155277935766,-0.29153200650328526,-0.4497786044309957,-0.3346239730053796,-0.3505134810933628,-0.3218884878701657,-0.11574390563556815,-0.09173208767639149,-0.03773438091826701,-0.18570551662705337,-0.2974153733833207
2018-12-19,-0.3557450165850118,-0.3309950788563345,-0.47062610565129276,-0.36953745177391206,-0.3813055062732506,-0.35343550389253053,-0.13241736543327046,-0.100134299244102,-0.01816787450474575,-0.20841278796320853,-0.3319432528627785
2018-12-20,-0.3866556875845524,-0.36996412500574083,-0.5139245395421439,-0.3911510955121213,-0.4125042680512102,-0.3930204417843267,-0.17778299572390763,-0.1305597784985119,-0.021395564308278422,-0.2425046122864042,-0.375468981131863
2018-12-21,-0.39955902401611515,-0.42056332715523187,-0.5334404284311772,-0.4206557627545442,-0.447878029747406,-0.43958679300054415,-0.1983254326453254,-0.15949423019678505,-0.0342585193305224,-0.2657503980384048,-0.4092734803275668
2018-12-24,-0.4304329470448952,-0.45438652487220366,-0.6043049730556974,-0.4455559609198904,-0.4830149113670774,-0.4857695987460349,-0.23726499806476267,-0.2101451373633832,-0.10937129667096378,-0.30960639502306275,-0.43472425360942335
2018-12-26,-0.3564902787261763,-0.36859404122364947,-0.5233615635835571,-0.37269972997028084,-0.4106177321399539,-0.3937396715286814,-0.18285959266952911,-0.15246554886515856,-0.06963056358141707,-0.2337274804208503,-0.3464025010912004
2018-12-27,-0.3176219837415683,-0.3643123397417524,-0.5081744617814415,-0.3428549864591951,-0.39014129520599444,-0.3789596704460456,-0.16647274537594992,-0.13739734621168115,-0.04307746435877875,-0.2161621903951593,-0.3394468191091353
2018-12-28,-0.3192028699665848,-0.3766986881909723,-0.5197283374176781,-0.3405202629554469,-0.3956012927939224,-0.3875127104953423,-0.1652426311522578,-0.13373293717569262,-0.04875153306114946,-0.21862102853903673,-0.3421294770068345
2018-12-31,-0.2994643703564329,-0.37122344051586476,-0.5097742285829481,-0.31519358702790157,-0.37890123261062125,-0.3752031061657528,-0.15900327147973106,-0.14193505526985403,-0.060111437576061785,-0.19500112248821655,-0.32352416783469956
2019-01-02,-0.29933134939700456,-0.34588263443099476,-0.4908173757359938,-0.3044424397238269,-0.3777274013578077,-0.3780561570831055,-0.1692626730308359,-0.17780284078117375,-0.09044951443771868,-0.22705802284802304,-0.3081021644697556
2019-01-03,-0.35193324466113957,-0.37326190310362606,-0.5067620424383015,-0.34311478801280804,-0.42974276416284807,-0.461914165424828,-0.18520371087615004,-0.166382293114416,-0.10403184590248465,-0.2625339222861536,-0.3337424044617072
2019-01-04,-0.28107413976005197,-0.3073094008475197,-0.4621870735372553,-0.2963492857282395,-0.37383483242669846,-0.3960322385847642,-0.1362328284718465,-0.1363739945896668,-0.06365049487955321,-0.20907142146936825,-0.27556768798007103
2019-01-07,-0.27086466609963644,-0.27487844772897696,-0.4359091435017366,-0.30009318941858487,-0.35780669765545875,-0.36636783710173115,-0.13645032113483502,-0.11588072573301801,-0.0822865557537789,-0.19315487677761106,-0.2219794104799918
2019-01-08,-0.24588088205385733,-0.23682477568911678,-0.423607625434108,-0.29433406038988535,-0.33081120124778685,-0.3417282554671298,-0.11838896555395731,-0.08331654666311183,-0.07360522629717346,-0.1779670673947256,-0.1951516748162783
2019-01-09,-0.24472829293806514,-0.23128990100729646,-0.397849670614692,-0.2917386262457,-0.3216024742371987,-0.3101534098010501,-0.14908658601783378,-0.10394688844541407,-0.09351782029325623,-0.16934644610223457,-0.18830578549401752
2019-01-10,-0.19715319840132098,-0.2270644834848996,-0.40035554537654783,-0.287617135879663,-0.2850929837367807,-0.3057170762002993,-0.13607129525740225,-0.07710874441957687,-0.07257575558411695,-0.16733412002744874,-0.19080501054753685
2019-01-11,-0.17867312041785666,-0.1972034042394774,-0.3835640490603174,-0.2548675607872959,-0.2572508364051149,-0.26367665859718376,-0.11878993527028386,-0.0572226427725272,-0.07432947266029084,-0.13834538218785236,-0.1559570030279908
2019-01-14,-0.18137922800936573,-0.19551896849133527,-0.3580685717207657,-0.21426037065261505,-0.23265173774213474,-0.26831820938143414,-0.10292959732923901,-0.03219221101862352,-0.09997141997494292,-0.1324914677299666,-0.14997748281296305
2019-01-15,-0.1961160208520543,-0.1865976520135925,-0.3545258149078624,-0.19932830595858475,-0.2442915906152084,-0.2705878962453373,-0.08960714366413225,-0.00919230132093856,-0.075427157692481,-0.11372355225157398,-0.150916434760703
2019-01-16,-0.18580615028922648,-0.19065258580118571,-0.3494299508796651,-0.1564979600672073,-0.24419876836478743,-0.25375954950625856,-0.10600562684094415,-0.006373861390156985,-0.07316767564134614,-0.11036265762483313,-0.15295226321914174
2019-01-17,-0.16926816781778986,-0.20786771110675012,-0.34126690180325014,-0.16220304925244372,-0.22939084016884997,-0.26923173217322777,-0.10879265935966657,-0.015777246080885425,-0.07533410363192089,-0.11954287490178671,-0.15934005644538157
2019-01-18,-0.13247769562126852,-0.1970829480232775,-0.3018332757550264,-0.14018626321085054,-0.18868291836847642,-0.23842886898719115,-0.09076959049472638,-0.00541831814340947,-0.0712860097542874,-0.10215091719313177,-0.1255729995424847
2019-01-22,-0.14735234901287475,-0.2175009981419404,-0.33504496700172215,-0.1455361920359576,-0.21024806222892414,-0.25035288592404653,-0.1071182599491293,-0.009442891019837793,-0.06912480051170487,-0.10422951902832468,-0.1349930969987342
2019-01-23,-0.15303737968887088,-0.2254828660528208,-0.3445741798149483,-0.14700003693745484,-0.20413922976181081,-0.24389968266212492,-0.10625908901145634,-0.01869544974044962,-0.06486249419701112,-0.09310931763826331,-0.12146292682217616
2019-01-24,-0.15509264392037678,-0.2167099478652042,-0.32582971651327963,-0.12115556407637484,-0.19167689310835126,-0.23667337834797253,-0.12262769079617988,0.00432276795235953,-0.04826835919433033,-0.10114643455580127,-0.11757272066962376
2019-01-25,-0.1097682837590935,-0.1918241023113378,-0.28001647426106807,-0.09760321041310341,-0.152252174630409,-0.20789391622335682,-0.13448593032351985,0.020907740892546853,-0.0697340481489545,-0.0934196495390759,-0.09681209586241324
2019-01-28,-0.07866066193566969,-0.15916904105047613,-0.2592792424464449,-0.07720791723089407,-0.13541340274262317,-0.18785112094109843,-0.13054553318875423,0.028765480080342645,-0.10196926856269657,-0.08130309003931617,-0.07673805760017262
2019-01-29,-0.07211921751040701,-0.21223822048982086,-0.26537373830987004,-0.0994875167529219,-0.11664355909430558,-0.23913007998093863,-0.12847564308215761,0.032118481301366866,-0.08103839589380134,-0.08476104514739435,-0.11897264229544698
2019-01-30,-0.045189662979455855,-0.15900480359285088,-0.23358819302664108,-0.07331799406700533,-0.0767216149938992,-0.1644284039974684,-0.09679505736044132,0.07793889122997691,-0.04732167574283497,-0.046722268934508364,-0.04877579786929208
2019-01-31,-0.07228583013943363,-0.06749630439791744,-0.2035058572469239,-0.08519310579085458,-0.05047115996116666,-0.1494809691456017,-0.07294101248439526,0.07306338921855221,-0.020471381431401564,-0.024810739515722782,-0.021493130711107943
2019-02-01,-0.08992861862176832,-0.10187065994196326,-0.19453466916037257,-0.09432313582308498,-0.06874869220007288,-0.1495186763763181,-0.09799055757828029,0.04285067401460044,-0.032036936882595034,-0.03403572101811936,-0.06621842382001455
2019-02-04,-0.1070580252875809,-0.10464614194891997,-0.19630897863821012,-0.10002961062814479,-0.05162235751913332,-0.14271947402681495,-0.07654416599106988,0.06966135361885106,-0.016573986950289183,-0.041103222723632774,-0.06666330323973363
2019-02-05,-0.12090046235266506,-0.08963011650562586,-0.20171409945810337,-0.10968424630542087,-0.0528050560868875,-0.13833039760959187,-0.08305903694470118,0.07313056047262091,-0.007924762764635246,-0.0566141249510588,-0.0689966856725727
2019-02-06,-0.12978094410091737,-0.12277177559152108,-0.21269128934180775,-0.11112160794145577,-0.0505101892103603,-0.11227730561226018,-0.0775446878992737,0.06594389212484499,-0.003166033023983616,-0.0413485786524187,-0.08117410578733668
2019-02-07,-0.15886412257320054,-0.1368443664902149,-0.26822086207466667,-0.14543400186121475,-0.06926513418834902,-0.13751329183916625,-0.09097964676973727,0.06519319361926217,0.008630601329050445,-0.07197563955477843,-0.09847887803448568
2019-02-08,-0.17632504938785165,-0.12992698379599163,-0.28052432934713456,-0.15985137417093961,-0.07699603147385979,-0.13283611865282502,-0.08789699258732622,0.05926619009196846,0.010477439686397255,-0.07338284530544997,-0.11054231273579881
2019-02-11,-0.19041610557321562,-0.16697270512255952,-0.2870207905394898,-0.1663078444069514,-0.08289628568402381,-0.1615091829990576,-0.08836584000147049,0.05071274358194172,-0.0018463682014453996,-0.10370894559625385,-0.1329488669920687
2019-02-12,-0.14574822287778216,-0.136412920425386,-0.2446060683549136,-0.14199062571784063,-0.05134226366997012,-0.13615101415468372,-0.07396879478072327,0.03416049929760545,0.0045303861597252165,-0.07820267723251835,-0.10437740868016679
2019-02-13,-0.12938288745001783,-0.1141995155742763,-0.22086668425314937,-0.12805845020159928,-0.029165190127174508,-0.11640916667676161,-0.07602800890950445,0.046526710635936816,-0.0027496662484828693,-0.071093455922673,-0.07741371415565547
2019-02-14,-0.12433304403803286,-0.09155670012801945,-0.1940126898343188,-0.13144150037521712,-0.017319386347588915,-0.07631515740003351,-0.09269267229997319,0.04854057589496423,-0.005442249281841366,-0.05293308571581776,-0.06383843320937176
2019-02-15,-0.09575811441775921,-0.07992546182496807,-0.14108306803861642,-0.0972992616113182,0.004543050893110752,-0.062093677884427455,-0.07236739588726751,0.05268034155931142,-0.0035773980103696486,-0.016302081067756415,-0.04998705602720482
2019-02-19,-0.08266524155295966,-0.08293631798211745,-0.1336920773659154,-0.08068941102870861,0.007357055934293845,-0.04886429353170871,-0.05574116490396486,0.05421902052882231,0.019111932577656258,-0.01273683093838016,-0.034123916783213665
2019-02-20,-0.06367201458741051,-0.09716741252298988,-0.14050791820906205,-0.0829866003991846,0.0030031433050692405,-0.07203352124721173,-0.05773811340434603,0.04961346119770838,0.036890005465520306,-0.024107229180180142,-0.02861904096088168
2019-02-21,-0.0815044271067122,-0.11013843224189342,-0.18130363071906921,-0.09426589639686526,-0.004946591640623416,-0.06954048412687154,-0.05447580649818115,0.038258469824158405,0.031514714569230454,-0.05162056972541338,-0.028458541976861262
2019-02-22,-0.058293570083134606,-0.059554195182823386,-0.17569306945187596,-0.09679329266108055,0.02560718911662138,-0.00284992351587042,-0.06221303041534102,0.04601311736177767,0.03336905309428495,-0.02059229470808853,0.008925483336666012
2019-02-25,-0.026267310190396395,-0.043218240523642856,-0.13857055272045163,-0.06605072430901318,0.056925307501055795,0.030944504537304664,-0.05626783074999027,0.04301991485537206,0.024437419933482248,-0.008059883528770028,0.027293754885205572
2019-02-26,-0.04597976177660788,-0.05580386811328082,-0.16022274161884925,-0.07269762595577396,0.04348283297415442,0.02720069676692454,-0.04713203319939161,0.03952250110715779,0.03768749471232823,-0.009315007729860672,0.018748394346599487
2019-02-27,-0.037756090941846454,-0.051416724888612764,-0.12000307239082555,-0.057089772454866,0.053795847966668656,0.035398457329684316,-0.053489889979045364,0.036877470595792286,0.039634046907799966,-0.020158770708373623,0.022191828750534145
